recording,file,variant,mode,chunk_bytes,duration_ms,endpoint_count,nonempty_final_count,empty_final_count,first_nonempty_partial_ms,terminal_final
1786194763609,baseline_ssp_1786194763609.wav,baseline,command_menu,1280,181248.0,46,21,26,10200.0,
1786194763609,baseline_ssp_1786194763609.wav,baseline,free_text,1280,181248.0,54,40,15,10440.0,
1786194763609,webrtc_ns_low_1786194763609.wav,webrtc_ns_low,command_menu,1280,181248.0,49,28,22,10200.0,
1786194763609,webrtc_ns_low_1786194763609.wav,webrtc_ns_low,free_text,1280,181248.0,53,39,15,10440.0,
1786194763609,webrtc_ns_moderate_1786194763609.wav,webrtc_ns_moderate,command_menu,1280,181248.0,49,28,22,10200.0,
1786194763609,webrtc_ns_moderate_1786194763609.wav,webrtc_ns_moderate,free_text,1280,181248.0,52,38,15,10440.0,
1786194763609,webrtc_ns_high_1786194763609.wav,webrtc_ns_high,command_menu,1280,181248.0,49,28,22,10200.0,
1786194763609,webrtc_ns_high_1786194763609.wav,webrtc_ns_high,free_text,1280,181248.0,53,39,15,9480.0,
1786194763609,webrtc_ns_very_high_1786194763609.wav,webrtc_ns_very_high,command_menu,1280,181248.0,49,28,22,10200.0,
1786194763609,webrtc_ns_very_high_1786194763609.wav,webrtc_ns_very_high,free_text,1280,181248.0,53,39,15,9480.0,
1786194978795,baseline_ssp_1786194978795.wav,baseline,command_menu,1280,174080.0,44,23,22,17640.0,
1786194978795,baseline_ssp_1786194978795.wav,baseline,free_text,1280,174080.0,51,42,10,17880.0,
1786194978795,webrtc_ns_low_1786194978795.wav,webrtc_ns_low,command_menu,1280,174080.0,44,23,22,17880.0,
1786194978795,webrtc_ns_low_1786194978795.wav,webrtc_ns_low,free_text,1280,174080.0,50,41,10,17880.0,
1786194978795,webrtc_ns_moderate_1786194978795.wav,webrtc_ns_moderate,command_menu,1280,174080.0,44,24,21,17880.0,
1786194978795,webrtc_ns_moderate_1786194978795.wav,webrtc_ns_moderate,free_text,1280,174080.0,49,40,10,17880.0,
1786194978795,webrtc_ns_high_1786194978795.wav,webrtc_ns_high,command_menu,1280,174080.0,47,30,18,17880.0,
1786194978795,webrtc_ns_high_1786194978795.wav,webrtc_ns_high,free_text,1280,174080.0,49,40,10,17880.0,
1786194978795,webrtc_ns_very_high_1786194978795.wav,webrtc_ns_very_high,command_menu,1280,174080.0,46,31,16,17880.0,
1786194978795,webrtc_ns_very_high_1786194978795.wav,webrtc_ns_very_high,free_text,1280,174080.0,49,40,10,17880.0,
