recording,event_or_utterance_id,expected_text,candidate,mode,legacy_outcome,candidate_outcome,delta_class,latency_delta_ms,notes
1786194763609,1786194763609_cmd_007,вверх,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_007,вверх,raw_mix123,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_007,вверх,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_007,вверх,webrtc_moderate,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_008,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_008,вниз,hpf80_mix123,production_like,true,true,unchanged,-60.000000000002274,
1786194763609,1786194763609_cmd_008,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_008,вниз,raw_ch3,production_like,true,true,unchanged,-60.000000000002274,
1786194763609,1786194763609_cmd_008,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_008,вниз,raw_mix123,production_like,true,true,unchanged,-60.000000000002274,
1786194763609,1786194763609_cmd_008,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_008,вниз,webrtc_moderate,production_like,true,true,slower_stable_partial,179.99999999999972,
1786194763609,1786194763609_cmd_009,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_009,вниз,hpf80_mix123,production_like,true,true,slower_stable_partial,179.99999999999972,
1786194763609,1786194763609_cmd_009,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_009,вниз,raw_ch3,production_like,true,true,unchanged,-60.000000000002274,
1786194763609,1786194763609_cmd_009,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_009,вниз,raw_mix123,production_like,true,true,slower_stable_partial,179.99999999999972,
1786194763609,1786194763609_cmd_009,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_009,вниз,webrtc_moderate,production_like,true,true,slower_stable_partial,179.99999999999972,
1786194763609,1786194763609_cmd_010,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_010,вниз,hpf80_mix123,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_010,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_010,вниз,raw_ch3,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_010,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_010,вниз,raw_mix123,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_010,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_010,вниз,webrtc_moderate,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_011,вверх,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_011,вверх,hpf80_mix123,production_like,true,true,faster_stable_partial,-320.0000000000003,
1786194763609,1786194763609_cmd_011,вверх,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_011,вверх,raw_ch3,production_like,true,true,faster_stable_partial,-320.0000000000003,
1786194763609,1786194763609_cmd_011,вверх,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_011,вверх,raw_mix123,production_like,true,true,faster_stable_partial,-320.0000000000003,
1786194763609,1786194763609_cmd_011,вверх,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_011,вверх,webrtc_moderate,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_012,вверх,hpf80_mix123,clean_continuous,true,true,faster_stable_partial,-240.00000000000193,
1786194763609,1786194763609_cmd_012,вверх,hpf80_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_012,вверх,raw_ch3,clean_continuous,true,true,faster_stable_partial,-240.00000000000193,
1786194763609,1786194763609_cmd_012,вверх,raw_ch3,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_012,вверх,raw_mix123,clean_continuous,true,true,faster_stable_partial,-240.00000000000193,
1786194763609,1786194763609_cmd_012,вверх,raw_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_012,вверх,webrtc_moderate,clean_continuous,true,true,faster_stable_partial,-240.00000000000193,
1786194763609,1786194763609_cmd_012,вверх,webrtc_moderate,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_013,вверх,hpf80_mix123,clean_continuous,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_013,вверх,hpf80_mix123,production_like,true,false,regressed_from_legacy,,
1786194763609,1786194763609_cmd_013,вверх,raw_ch3,clean_continuous,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_013,вверх,raw_ch3,production_like,true,true,faster_stable_partial,-320.0000000000003,
1786194763609,1786194763609_cmd_013,вверх,raw_mix123,clean_continuous,false,false,unchanged,,
1786194763609,1786194763609_cmd_013,вверх,raw_mix123,production_like,true,true,faster_stable_partial,-320.0000000000003,
1786194763609,1786194763609_cmd_013,вверх,webrtc_moderate,clean_continuous,false,false,unchanged,,
1786194763609,1786194763609_cmd_013,вверх,webrtc_moderate,production_like,true,false,regressed_from_legacy,,
1786194763609,1786194763609_cmd_014,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_014,вниз,hpf80_mix123,production_like,true,true,unchanged,-79.99999999999824,
1786194763609,1786194763609_cmd_014,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_014,вниз,raw_ch3,production_like,true,true,unchanged,-79.99999999999824,
1786194763609,1786194763609_cmd_014,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_014,вниз,raw_mix123,production_like,true,true,unchanged,-79.99999999999824,
1786194763609,1786194763609_cmd_014,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_014,вниз,webrtc_moderate,production_like,true,true,unchanged,-79.99999999999824,
1786194763609,1786194763609_cmd_015,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_015,вниз,hpf80_mix123,production_like,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_015,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_015,вниз,raw_ch3,production_like,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_015,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_015,вниз,raw_mix123,production_like,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_015,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_015,вниз,webrtc_moderate,production_like,false,true,fixed_legacy_miss,,
1786194763609,1786194763609_cmd_016,вниз,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_016,вниз,hpf80_mix123,production_like,true,true,slower_stable_partial,160.0000000000037,
1786194763609,1786194763609_cmd_016,вниз,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_016,вниз,raw_ch3,production_like,true,true,slower_stable_partial,160.0000000000037,
1786194763609,1786194763609_cmd_016,вниз,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_016,вниз,raw_mix123,production_like,true,true,slower_stable_partial,160.0000000000037,
1786194763609,1786194763609_cmd_016,вниз,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_016,вниз,webrtc_moderate,production_like,true,true,slower_stable_partial,160.0000000000037,
1786194763609,1786194763609_cmd_017,вверх,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_017,вверх,hpf80_mix123,production_like,true,true,removed_wrong_partial,-80.0000000000054,
1786194763609,1786194763609_cmd_017,вверх,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_017,вверх,raw_ch3,production_like,true,true,unchanged,-80.0000000000054,
1786194763609,1786194763609_cmd_017,вверх,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_017,вверх,raw_mix123,production_like,true,true,removed_wrong_partial,-80.0000000000054,
1786194763609,1786194763609_cmd_017,вверх,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_017,вверх,webrtc_moderate,production_like,true,true,removed_wrong_partial,-80.0000000000054,
1786194763609,1786194763609_cmd_018,вверх,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_018,вверх,hpf80_mix123,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_018,вверх,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_018,вверх,raw_ch3,production_like,true,false,regressed_from_legacy,,
1786194763609,1786194763609_cmd_018,вверх,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_018,вверх,raw_mix123,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_018,вверх,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_018,вверх,webrtc_moderate,production_like,true,true,faster_stable_partial,-320.0000000000002,
1786194763609,1786194763609_cmd_019,вверх,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_019,вверх,hpf80_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_019,вверх,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_019,вверх,raw_ch3,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_019,вверх,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_019,вверх,raw_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_019,вверх,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
