recording,region_start_s,region_end_s,lag_samples,lag_ms,correlation
1786194763609,10.0,18.0,-252,-15.75,0.8393291215149695
1786194763609,60.416,68.416,-254,-15.875,0.8638092302686533
1786194763609,154.832,162.832,-254,-15.875,0.8871084484676025
1786194978795,32.0,40.0,-254,-15.875,0.9296439685336771
1786194978795,90.026625,98.026625,-254,-15.875,0.9441331476548666
1786194978795,154.05325,162.05325,-255,-15.9375,0.9367374914436126
