frontend,mode,keyword,total,detected
webrtc_moderate,clean_continuous,напитки,1,1
webrtc_moderate,clean_continuous,печать,4,4
webrtc_moderate,clean_continuous,святой,1,1
webrtc_moderate,clean_continuous,список,3,3
webrtc_moderate,production_like,безалкогольное,1,1
webrtc_moderate,production_like,белый,3,3
webrtc_moderate,production_like,вверх,14,12
webrtc_moderate,production_like,вниз,13,13
webrtc_moderate,production_like,доступность,8,8
webrtc_moderate,production_like,жёлтый,14,14
webrtc_moderate,production_like,источник,1,1
webrtc_moderate,production_like,коровка,8,7
webrtc_moderate,production_like,мобильный,1,1
webrtc_moderate,production_like,молочная,2,2
webrtc_moderate,production_like,назад,10,10
webrtc_moderate,production_like,напитки,1,1
webrtc_moderate,production_like,печать,4,4
webrtc_moderate,production_like,святой,1,1
webrtc_moderate,production_like,список,3,3
