utterance_id,recording,expected_text,frontend,mode,detected,wrong_actionable_partial,first_partial_latency_ms,stable_partial_latency_ms,endpoint_latency_ms,duplicate_activation
1786194763609_cmd_005,1786194763609,вверх,raw_ch3,production_like,true,0,560.0000000000023,710.0000000000009,,0
1786194763609_cmd_005,1786194763609,вверх,raw_mix123,clean_continuous,true,0,240.000000000002,390.00000000000057,960.0000000000009,0
1786194763609_cmd_005,1786194763609,вверх,raw_mix123,production_like,true,0,560.0000000000023,710.0000000000009,,0
1786194763609_cmd_005,1786194763609,вверх,webrtc_moderate,clean_continuous,true,0,240.000000000002,390.00000000000057,,0
1786194763609_cmd_005,1786194763609,вверх,webrtc_moderate,production_like,true,0,560.0000000000023,710.0000000000009,,0
1786194763609_cmd_006,1786194763609,вверх,hpf80_mix123,clean_continuous,true,0,420.0000000000017,570.0000000000002,879.999999999999,0
1786194763609_cmd_006,1786194763609,вверх,hpf80_mix123,production_like,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,legacy_reference,clean_continuous,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,legacy_reference,production_like,true,0,560.0000000000023,710.0000000000009,,0
1786194763609_cmd_006,1786194763609,вверх,raw_ch3,clean_continuous,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,raw_ch3,production_like,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,raw_mix123,clean_continuous,true,0,420.0000000000017,570.0000000000002,879.999999999999,0
1786194763609_cmd_006,1786194763609,вверх,raw_mix123,production_like,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,webrtc_moderate,clean_continuous,false,0,,,,0
1786194763609_cmd_006,1786194763609,вверх,webrtc_moderate,production_like,false,0,,,,0
1786194763609_cmd_007,1786194763609,вверх,hpf80_mix123,clean_continuous,true,0,580.0000000000018,730.0000000000005,859.9999999999994,0
1786194763609_cmd_007,1786194763609,вверх,hpf80_mix123,production_like,true,0,340.0000000000034,,140.00000000000057,0
1786194763609_cmd_007,1786194763609,вверх,legacy_reference,clean_continuous,true,0,580.0000000000018,730.0000000000005,859.9999999999994,0
1786194763609_cmd_007,1786194763609,вверх,legacy_reference,production_like,true,0,400.00000000000216,,199.9999999999993,0
1786194763609_cmd_007,1786194763609,вверх,raw_ch3,clean_continuous,true,0,580.0000000000018,730.0000000000005,859.9999999999994,0
1786194763609_cmd_007,1786194763609,вверх,raw_ch3,production_like,true,0,340.0000000000034,,140.00000000000057,0
1786194763609_cmd_007,1786194763609,вверх,raw_mix123,clean_continuous,true,0,580.0000000000018,730.0000000000005,,0
1786194763609_cmd_007,1786194763609,вверх,raw_mix123,production_like,true,0,340.0000000000034,,140.00000000000057,0
1786194763609_cmd_007,1786194763609,вверх,webrtc_moderate,clean_continuous,true,0,580.0000000000018,730.0000000000005,,0
1786194763609_cmd_007,1786194763609,вверх,webrtc_moderate,production_like,true,0,340.0000000000034,,140.00000000000057,0
1786194763609_cmd_008,1786194763609,вниз,hpf80_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_008,1786194763609,вниз,hpf80_mix123,production_like,true,0,219.99999999999886,369.99999999999744,939.9999999999977,0
1786194763609_cmd_008,1786194763609,вниз,legacy_reference,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_008,1786194763609,вниз,legacy_reference,production_like,true,0,280.00000000000114,429.9999999999997,999.9999999999965,0
1786194763609_cmd_008,1786194763609,вниз,raw_ch3,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_008,1786194763609,вниз,raw_ch3,production_like,true,0,219.99999999999886,369.99999999999744,939.9999999999977,0
1786194763609_cmd_008,1786194763609,вниз,raw_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_008,1786194763609,вниз,raw_mix123,production_like,true,0,219.99999999999886,369.99999999999744,939.9999999999977,0
1786194763609_cmd_008,1786194763609,вниз,webrtc_moderate,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_008,1786194763609,вниз,webrtc_moderate,production_like,true,0,460.00000000000085,609.9999999999994,939.9999999999977,0
1786194763609_cmd_009,1786194763609,вниз,hpf80_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_009,1786194763609,вниз,hpf80_mix123,production_like,true,0,460.00000000000085,609.9999999999994,959.9999999999973,0
1786194763609_cmd_009,1786194763609,вниз,legacy_reference,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_009,1786194763609,вниз,legacy_reference,production_like,true,0,280.00000000000114,429.9999999999997,,0
1786194763609_cmd_009,1786194763609,вниз,raw_ch3,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_009,1786194763609,вниз,raw_ch3,production_like,true,0,219.99999999999886,369.99999999999744,959.9999999999973,0
1786194763609_cmd_009,1786194763609,вниз,raw_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_009,1786194763609,вниз,raw_mix123,production_like,true,0,460.00000000000085,609.9999999999994,959.9999999999973,0
1786194763609_cmd_009,1786194763609,вниз,webrtc_moderate,clean_continuous,true,0,300.0000000000007,449.9999999999993,,0
1786194763609_cmd_009,1786194763609,вниз,webrtc_moderate,production_like,true,0,460.00000000000085,609.9999999999994,959.9999999999973,0
1786194763609_cmd_010,1786194763609,вниз,hpf80_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,1000.0,0
1786194763609_cmd_010,1786194763609,вниз,hpf80_mix123,production_like,true,0,220.00000000000242,,-39.99999999999915,0
1786194763609_cmd_010,1786194763609,вниз,legacy_reference,clean_continuous,true,0,300.0000000000007,449.9999999999993,1000.0,0
1786194763609_cmd_010,1786194763609,вниз,legacy_reference,production_like,true,0,280.00000000000114,,19.999999999999574,0
