recording,variant,samples,duration_s,rms,peak_amplitude,peak_dbfs,dc_offset,clipped_samples,crest_factor,energy_0_80_hz,energy_80_300_hz,energy_300_3400_hz,energy_gt_3400_hz,alignment_lag_samples,alignment_lag_ms,correlation_to_baseline,log_spectral_distance_db,si_sdr_db,boundary_jump_p95,ordinary_jump_p95,boundary_to_ordinary_p95,envelope_100_hz_power,pcm_sha256
1786194763609,baseline,2899968,181.248,0.009554207273728629,0.2061767578125,-13.715205881214938,3.855675458908081e-07,0,21.57968232272162,0.042083631456584836,10.149979126019147,7.0616681137753385,0.05511890067993749,0,0.0,0.9999999999999998,0.0,174.22782523357978,0.002655029296875,0.00262451171875,1.0116279069767442,0.00032940676959697905,1ebc598692169298b49b9152d40da3dbfbbaa602d63b2182ce437f736a57afeb
1786194763609,webrtc_ns_low,2899968,181.248,0.009360236042905907,0.206207275390625,-13.713920320694857,-3.649626916411233e-07,0,22.03013625355194,0.014694919513367655,9.743957655108371,6.970552420368103,0.015210579668992596,-96,-6.0,0.9982075196923055,5.758620493068196,24.44345966547519,0.001617431640625,0.0015869140625,1.0192307692307692,0.0033590227774402313,b8332a310a2201817958b0aac42bd83cd8be8be7c5e2a5da4a0f38974954d09b
1786194763609,webrtc_ns_moderate,2899968,181.248,0.00945729415004971,0.2073974609375,-13.6639312952542,-3.9481763112342966e-07,0,21.929894285503412,0.009287334881167878,9.988518007988308,7.0989997625551045,0.006050100361381591,-96,-6.0,0.996673167434145,10.839971949475547,21.74767186866589,0.001373291015625,0.001373291015625,1.0,0.002306321629475883,7d4112431c9d71628a004c08a4061a532b181a90653cd7d328bb7362d5f18924
1786194763609,webrtc_ns_high,2899968,181.248,0.00944296996664391,0.20751953125,-13.658820445069633,-4.809518150017086e-07,0,21.976087182638125,0.007403159134216164,9.95336738530584,7.086383052743106,0.0030826918055167486,-96,-6.0,0.9953238817625096,15.898646065327172,20.260295929902146,0.00128173828125,0.00128173828125,1.0,0.0019757174479673153,1062cbeaaabc4b8f48d7072f27030fabacb5dc6a437b3681dac4f77cce9cd6fd
1786194763609,webrtc_ns_very_high,2899968,181.248,0.009430386259447743,0.207611083984375,-13.65498927998301,-5.465232383059917e-07,0,22.015119876599094,0.006808693845305173,9.918482256572721,7.075884975338045,0.0021914073083619708,-96,-6.0,0.9944890472616748,18.88152594735484,19.541412992547155,0.001220703125,0.001251220703125,0.975609756097561,0.00185649005288723,f93f9886872ba0f928e79296b7483dbc8e5e7e93fa2b905c3362da1337fe69aa
1786194978795,baseline,2785280,174.08,0.024922267873041398,0.501312255859375,-5.997833556371116,-2.811388934359831e-07,0,20.115033608223438,0.04027932742057609,38.24822659285303,83.80100546636838,0.11478835422789402,0,0.0,1.0,0.0,182.38043979981595,0.0059814453125,0.00604248046875,0.98989898989899,0.16102320657988473,8a233c4be922db12d9376547850bac10ef463c4b18a116812b719477502929a4
1786194978795,webrtc_ns_low,2785280,174.08,0.02370533897916164,0.488250732421875,-6.227141931143577,-1.4276079395238092e-06,0,20.596656848108164,0.01721597094854862,33.871366091941645,78.2236414612904,0.05077434434656887,-96,-6.0,0.9957494280421731,5.726025877204116,20.677466162977414,0.004974365234375,0.005096435546875,0.9760479041916168,0.0039221687041935665,026098c548a793a8510ecb6513ae841a3494eadf526aa6fd2d2424966fcdb368
1786194978795,webrtc_ns_moderate,2785280,174.08,0.0243314949111982,0.492523193359375,-6.151466267354912,-1.3341360232409309e-06,0,20.242208510283465,0.013997682982245668,36.45203536681595,81.5818100416508,0.04008042026916786,-96,-6.0,0.992345541735783,10.935761531847795,18.10046667131129,0.005035400390625,0.005218505859375,0.9649122807017544,0.0063821170019218235,5fed33b0e8c371fca8e85bbd0718ea2dcffacc841b0703831a8a59deaf861f4b
1786194978795,webrtc_ns_high,2785280,174.08,0.024228633244449318,0.4908447265625,-6.1811174105768885,-1.3842630912275875e-06,0,20.25886980954448,0.013355556717693532,36.182918867456195,80.907731201231,0.03462027226428802,-96,-6.0,0.9889423962398401,16.074013007745062,16.480587190941407,0.004974365234375,0.005126953125,0.9702380952380952,0.005340890735133106,c552145ed3722a4e120822d82ccee552e56418ba4a857904126fa24d4057d0ca
1786194978795,webrtc_ns_very_high,2785280,174.08,0.024128063224890126,0.4891357421875,-6.211412023981115,-1.572675126440385e-06,0,20.272482611986668,0.013776718184415039,35.93423668552107,80.21468455877684,0.03195860147476432,-96,-6.0,0.9864511785599166,18.98153277175552,15.58171728222604,0.004873657226562522,0.00506591796875,0.9620481927710888,0.003585096937640593,51ae3ccc95f69915256b456521356103ea18b81efe7f330695a8edf0239384fe
