comparison,ssP_lag_samples,ssP_lag_ms,normalized_correlation,si_sdr_db,log_spectral_distance_db,rms_ratio,speech_band_energy_ratio
legacy_vs_ssp_1786194763609,0,0.0,0.9999999999999998,174.22782523357978,0.0,1.0,1.0
aligned_vs_ssp_1786194763609,-2,-0.125,0.991795597618457,17.79552632744464,7.479420186066849,1.0293593317938456,1.0562655866302748
legacy_vs_ssp_1786194978795,0,0.0,1.0000000000000002,182.38043979981595,0.0,1.0,1.0
aligned_vs_ssp_1786194978795,-1,-0.0625,0.9892845190648775,16.619338552109276,7.220118964453049,1.0471987167767127,1.1165142884154973
